LOCALIDAD,CASOS_SIN_GRIPA,NINOS_ENCUESTADOS,SEXO,ESTRATO,ASEGURAMIENTO
Antonio Nariño,0.0,3,Hombre,2,Contributivo (EPS)
Antonio Nariño,9.0,29,Hombre,3,Contributivo (EPS)
Antonio Nariño,1.0,3,Hombre,3,Régimen excepcional
Antonio Nariño,0.0,2,Hombre,2,Subsidiado (EPSS)
Antonio Nariño,0.0,11,Hombre,3,Subsidiado (EPSS)
Antonio Nariño,6.0,28,Mujer,3,Contributivo (EPS)
Antonio Nariño,0.0,1,Mujer,3,Ninguno
Antonio Nariño,2.0,2,Mujer,3,Régimen excepcional
Antonio Nariño,0.0,4,Mujer,2,Subsidiado (EPSS)
Antonio Nariño,5.0,14,Mujer,3,Subsidiado (EPSS)
Barrios Unidos,1.0,13,Hombre,3,Contributivo (EPS)
Barrios Unidos,0.0,1,Hombre,4,Contributivo (EPS)
Barrios Unidos,0.0,1,Hombre,2,Subsidiado (EPSS)
Barrios Unidos,1.0,6,Hombre,3,Subsidiado (EPSS)
Barrios Unidos,1.0,15,Mujer,3,Contributivo (EPS)
Barrios Unidos,0.0,1,Mujer,5,Contributivo (EPS)
Barrios Unidos,1.0,1,Mujer,3,Régimen excepcional
Barrios Unidos,3.0,10,Mujer,3,Subsidiado (EPSS)
Bosa,1.0,11,Hombre,1,Contributivo (EPS)
Bosa,5.0,59,Hombre,2,Contributivo (EPS)
Bosa,0.0,2,Hombre,2,Ninguno
Bosa,0.0,1,Hombre,1,Régimen excepcional
Bosa,0.0,3,Hombre,2,Régimen excepcional
Bosa,0.0,8,Hombre,1,Subsidiado (EPSS)
Bosa,4.0,34,Hombre,2,Subsidiado (EPSS)
Bosa,0.0,11,Mujer,1,Contributivo (EPS)
Bosa,4.0,62,Mujer,2,Contributivo (EPS)
Bosa,1.0,1,Mujer,2,Ninguno
Bosa,0.0,1,Mujer,2,Régimen excepcional
Bosa,0.0,11,Mujer,1,Subsidiado (EPSS)
Bosa,2.0,28,Mujer,2,Subsidiado (EPSS)
La Candelaria,1.0,4,Hombre,2,Contributivo (EPS)
La Candelaria,1.0,4,Hombre,3,Contributivo (EPS)
La Candelaria,0.0,3,Hombre,2,Subsidiado (EPSS)
La Candelaria,0.0,1,Hombre,3,Subsidiado (EPSS)
La Candelaria,1.0,8,Mujer,2,Contributivo (EPS)
La Candelaria,2.0,5,Mujer,3,Contributivo (EPS)
La Candelaria,0.0,4,Mujer,2,Subsidiado (EPSS)
La Candelaria,0.0,1,Mujer,3,Subsidiado (EPSS)
Chapinero,0.0,1,Hombre,1,Contributivo (EPS)
Chapinero,3.0,7,Hombre,2,Contributivo (EPS)
Chapinero,1.0,6,Hombre,4,Contributivo (EPS)
Chapinero,0.0,1,Hombre,1,Régimen excepcional
Chapinero,0.0,2,Hombre,1,Subsidiado (EPSS)
Chapinero,0.0,6,Hombre,2,Subsidiado (EPSS)
Chapinero,2.0,4,Mujer,1,Contributivo (EPS)
Chapinero,1.0,8,Mujer,2,Contributivo (EPS)
Chapinero,0.0,1,Mujer,3,Contributivo (EPS)
Chapinero,0.0,4,Mujer,4,Contributivo (EPS)
Chapinero,0.0,2,Mujer,5,Contributivo (EPS)
Chapinero,0.0,1,Mujer,4,Régimen excepcional
Chapinero,0.0,2,Mujer,6,Régimen excepcional
Chapinero,1.0,4,Mujer,1,Subsidiado (EPSS)
Chapinero,2.0,4,Mujer,2,Subsidiado (EPSS)
Ciudad Bolívar,14.0,79,Hombre,1,Contributivo (EPS)
Ciudad Bolívar,3.0,21,Hombre,2,Contributivo (EPS)
Ciudad Bolívar,1.0,3,Hombre,3,Contributivo (EPS)
Ciudad Bolívar,0.0,3,Hombre,1,Régimen excepcional
Ciudad Bolívar,0.0,1,Hombre,2,Régimen excepcional
Ciudad Bolívar,16.0,72,Hombre,1,Subsidiado (EPSS)
Ciudad Bolívar,2.0,10,Hombre,2,Subsidiado (EPSS)
